state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
NE,1599319137439,ADAMS COUNTY JAIL,AdvancedConnect,true,4024712244,$0.000,$2.650,$0.400,$2.650,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,AdvancedConnect,false,2083342100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Direct Bill,true,4024712244,$0.000,$2.650,$0.400,$2.650,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Direct Bill,false,2083342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Inmate Debit,true,4024712244,$0.000,$2.650,$0.400,$2.650,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Inmate Debit,false,2083342100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Traditional Collect,true,4024712244,$0.000,$2.650,$0.400,$2.650,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Traditional Collect,false,2083342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Voicemail,true,4024712244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NE,1599319137439,ADAMS COUNTY JAIL,Voicemail,false,2083342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NE,1599319141183,HALL COUNTY DOC,AdvancedConnect,true,4024712244,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
NE,1599319141183,HALL COUNTY DOC,AdvancedConnect,false,4046561776,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NE,1599319141183,HALL COUNTY DOC,Direct Bill,true,4024712244,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
NE,1599319141183,HALL COUNTY DOC,Direct Bill,false,4046561776,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NE,1599319141183,HALL COUNTY DOC,Inmate Debit,true,4024712244,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
NE,1599319141183,HALL COUNTY DOC,Inmate Debit,false,4046561776,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NE,1599319141183,HALL COUNTY DOC,Traditional Collect,true,4024712244,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
