state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,AdvancedConnect,true,2072873531,$0.000,$1.460,$0.108,$1.460,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,AdvancedConnect,false,6013593150,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Direct Bill,true,2072873531,$0.000,$1.460,$0.108,$1.460,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Direct Bill,false,6013593150,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Inmate Debit,true,2072873531,$0.000,$1.460,$0.108,$1.460,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Inmate Debit,false,6013593150,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Traditional Collect,true,2072873531,$0.000,$1.460,$0.108,$1.460,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Traditional Collect,false,6013593150,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Voicemail,true,2072873531,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
ME,1599318236947,ANDROSCOGGIN COUNTY JAIL,Voicemail,false,6013593150,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,AdvancedConnect,true,2072873531,$0.000,$0.290,$0.290,$0.290,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,AdvancedConnect,false,7177872500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Direct Bill,true,2072873531,$0.000,$0.290,$0.290,$0.290,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Direct Bill,false,7177872500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Inmate Debit,true,2072873531,$0.000,$0.290,$0.290,$0.290,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Inmate Debit,false,7177872500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Traditional Collect,true,2072873531,$0.000,$0.290,$0.290,$0.290,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Traditional Collect,false,7177872500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Voicemail,true,2072873531,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
ME,1599318240715,AROOSTOOK COUNTY JAIL,Voicemail,false,7177872500,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
ME,1599318244457,CUMBERLAND COUNTY JAIL,AdvancedConnect,true,2072873531,$0.000,$1.480,$0.140,$1.480,false,null,$0.000
ME,1599318244457,CUMBERLAND COUNTY JAIL,AdvancedConnect,false,3342427100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
