state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
KS,1598741545608,BARTON COUNTY JAIL,AdvancedConnect,true,7852963232,$0.000,$2.710,$0.710,$2.710,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,AdvancedConnect,false,5184748390,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Direct Bill,true,7852963232,$0.000,$2.710,$0.710,$2.710,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Direct Bill,false,5184748390,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Inmate Debit,true,7852963232,$0.000,$2.710,$0.710,$2.710,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Inmate Debit,false,5184748390,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Traditional Collect,true,7852963232,$0.000,$2.710,$0.710,$2.710,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Traditional Collect,false,5184748390,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Voicemail,true,7852963232,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
KS,1598741545608,BARTON COUNTY JAIL,Voicemail,false,5184748390,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,AdvancedConnect,true,7852963232,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,AdvancedConnect,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Direct Bill,true,7852963232,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Direct Bill,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Inmate Debit,true,7852963232,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Inmate Debit,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Traditional Collect,true,7852963232,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Traditional Collect,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Voicemail,true,7852963232,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
KS,1598741552440,BUTLER COUNTY CORRECTIONS,Voicemail,false,6082661212,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,AdvancedConnect,true,7852963232,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,AdvancedConnect,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Direct Bill,true,7852963232,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Direct Bill,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Inmate Debit,true,7852963232,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Inmate Debit,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Traditional Collect,true,7852963232,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Traditional Collect,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Voicemail,true,7852963232,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
KS,1598741558231,COWLEY COUNTY JAIL,Voicemail,false,6082661212,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
KS,1598741565242,DICKINSON COUNTY JAIL,AdvancedConnect,true,7852963232,$0.000,$4.250,$0.500,$4.250,false,null,$0.000
KS,1598741565242,DICKINSON COUNTY JAIL,AdvancedConnect,false,3038662471,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KS,1598741565242,DICKINSON COUNTY JAIL,Direct Bill,true,7852963232,$0.000,$4.250,$0.500,$4.250,false,null,$0.000
KS,1598741565242,DICKINSON COUNTY JAIL,Direct Bill,false,3038662471,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KS,1598741565242,DICKINSON COUNTY JAIL,Inmate Debit,true,7852963232,$0.000,$4.250,$0.500,$4.250,false,null,$0.000
