state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,AdvancedConnect,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,AdvancedConnect,false,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Direct Bill,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Direct Bill,false,5124632000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Inmate Debit,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Inmate Debit,false,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Traditional Collect,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Traditional Collect,false,5124632000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Voicemail,true,5173733400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MI,1599318290194,ALCONA COUNTY SHERIFF'S DEPT,Voicemail,false,5124632000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MI,1599318296183,ALGER COUNTY SHERIFF'S DEPT,AdvancedConnect,true,5173733400,$0.000,$1.160,$0.910,$1.160,false,null,$0.000
MI,1599318296183,ALGER COUNTY SHERIFF'S DEPT,AdvancedConnect,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1599318296183,ALGER COUNTY SHERIFF'S DEPT,Direct Bill,true,5173733400,$0.000,$1.160,$0.910,$1.160,false,null,$0.000
MI,1599318296183,ALGER COUNTY SHERIFF'S DEPT,Direct Bill,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
